run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
102,11,60,1,240,3,0.07163323782234957,698,0.07494211196899414,0.05,720,1.664477825164795
103,11,60,1,240,3,0.06231884057971015,690,0.07518887519836426,0.05555555555555555,720,0.7739899158477783
104,11,60,1,240,3,0.06944444444444445,720,0.07502293586730957,0.05277777777777778,720,1.0399491786956787
105,11,60,1,240,3,0.059490084985835696,706,0.07510757446289062,0.041666666666666664,720,1.5519273281097412
106,11,60,1,240,3,0.05508474576271186,708,0.07506108283996582,0.04722222222222222,720,0.9101800918579102
107,11,60,1,240,3,0.044444444444444446,720,0.09212088584899902,0.03333333333333333,720,1.0900344848632812
108,11,60,1,240,3,0.05890603085553997,713,0.07615113258361816,0.04722222222222222,720,0.9135465621948242
109,11,60,1,240,3,0.04850213980028531,701,0.07487964630126953,0.030555555555555555,720,1.084315538406372
110,11,60,1,240,3,0.07777777777777778,720,0.07491636276245117,0.05,720,1.1885225772857666
111,12,60,2,180,3,0.04814814814814815,540,0.059070587158203125,0.044444444444444446,540,1.6116552352905273
112,12,60,2,180,3,0.06566604127579738,533,0.05935192108154297,0.037037037037037035,540,1.0741167068481445
113,12,60,2,180,3,0.05925925925925926,540,0.05930519104003906,0.040740740740740744,540,0.924933910369873
114,12,60,2,180,3,0.0872865275142315,527,0.05942797660827637,0.05185185185185185,540,2.3091626167297363
115,12,60,2,180,3,0.04814814814814815,540,0.05908918380737305,0.03333333333333333,540,1.6081931591033936
116,12,60,2,180,3,0.024390243902439025,533,0.058975934982299805,0.014814814814814815,540,1.8960864543914795
117,12,60,2,180,3,0.05185185185185185,540,0.05881547927856445,0.05185185185185185,540,1.2790172100067139
118,12,60,2,180,3,0.05185185185185185,540,0.05950450897216797,0.05185185185185185,540,2.7193894386291504
119,12,60,2,180,3,0.06296296296296296,540,0.05872702598571777,0.037037037037037035,540,1.2657382488250732
120,12,60,2,180,3,0.05671077504725898,529,0.059412240982055664,0.03333333333333333,540,1.0279829502105713
121,13,70,1,280,3,0.05,840,0.10685276985168457,0.04285714285714286,840,1.2662336826324463
122,13,70,1,280,3,0.06326034063260341,822,0.1069941520690918,0.05238095238095238,840,1.3821663856506348
123,13,70,1,280,3,0.07259073842302878,799,0.10648417472839355,0.05238095238095238,840,1.2930338382720947
124,13,70,1,280,3,0.05238095238095238,840,0.10765528678894043,0.04523809523809524,840,1.7117042541503906
125,13,70,1,280,3,0.06190476190476191,840,0.10651612281799316,0.04285714285714286,840,1.301910638809204
126,13,70,1,280,3,0.04390243902439024,820,0.10734868049621582,0.03571428571428571,840,1.0738329887390137
127,13,70,1,280,3,0.07168894289185905,823,0.10785412788391113,0.05238095238095238,840,1.4299249649047852
128,13,70,1,280,3,0.05542168674698795,830,0.10899209976196289,0.047619047619047616,840,2.6058337688446045
129,13,70,1,280,3,0.0761904761904762,840,0.1084444522857666,0.047619047619047616,840,1.921968698501587
130,13,70,1,280,3,0.07643312101910828,785,0.12413668632507324,0.04285714285714286,840,1.6952199935913086
131,14,70,2,210,3,0.05714285714285714,630,0.08292937278747559,0.031746031746031744,630,1.881194829940796
132,14,70,2,210,3,0.047619047619047616,630,0.09995770454406738,0.041050903119868636,609,1.2359044551849365
133,14,70,2,210,3,0.03492063492063492,630,0.0830833911895752,0.03492063492063492,630,0.9332952499389648
134,14,70,2,210,3,0.06666666666666667,630,0.08242607116699219,0.02857142857142857,630,1.2765424251556396
135,14,70,2,210,3,0.06666666666666667,630,0.08304119110107422,0.03492063492063492,630,1.271024227142334
136,14,70,2,210,3,0.06666666666666667,630,0.08452486991882324,0.047619047619047616,630,1.2792396545410156
137,14,70,2,210,3,0.0380952380952381,630,0.0839378833770752,0.0380794701986755,604,1.0154798030853271
138,14,70,2,210,3,0.05714285714285714,630,0.08333873748779297,0.03492063492063492,630,1.4046142101287842
139,14,70,2,210,3,0.050793650793650794,630,0.08396458625793457,0.02857142857142857,630,1.3560905456542969
140,14,70,2,210,3,0.05853658536585366,615,0.08387017250061035,0.03492063492063492,630,1.1559062004089355
141,15,80,1,320,3,0.10208333333333333,960,0.16683149337768555,0.052083333333333336,960,1.356177568435669
142,15,80,1,320,3,0.04583333333333333,960,0.14676141738891602,0.04375,960,1.4527089595794678
143,15,80,1,320,3,0.07142857142857142,910,0.147416353225708,0.041666666666666664,960,1.8399231433868408
144,15,80,1,320,3,0.05773420479302832,918,0.16385316848754883,0.04583333333333333,960,1.8259613513946533
145,15,80,1,320,3,0.059873949579831935,952,0.14877557754516602,0.05416666666666667,960,1.9315555095672607
146,15,80,1,320,3,0.04375,960,0.1468813419342041,0.03125,960,1.533219337463379
147,15,80,1,320,3,0.043897216274089934,934,0.14804816246032715,0.029166666666666667,960,1.242069959640503
148,15,80,1,320,3,0.07083333333333333,960,0.14795303344726562,0.05416666666666667,960,1.9987008571624756
149,15,80,1,320,3,0.08039647577092511,908,0.1479196548461914,0.05,960,2.257340669631958
150,15,80,1,320,3,0.0613107822410148,946,0.1469271183013916,0.052083333333333336,960,1.7871742248535156
151,16,80,2,240,3,0.062146892655367235,708,0.11292552947998047,0.044444444444444446,720,1.132694959640503
