run_id,configuration_id,vertices,edge_multiplier,edges,rank,step_size,diffusion_bipartiteness,diffusion_volume,diffusion_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
119,12,20,2,40,3,0.5,0.03333333333333333,120,21.40206003189087,0.03333333333333333,120,0.35712504386901855
120,12,20,2,40,3,0.5,0.016666666666666666,120,5.398038148880005,0.016666666666666666,120,0.3289203643798828
121,13,20,2,40,3,1,0.03333333333333333,120,10.464115381240845,0.03333333333333333,120,0.1661238670349121
122,13,20,2,40,3,1,0.0,113,5.214027643203735,0.0,118,0.09727692604064941
123,13,20,2,40,3,1,0.016666666666666666,120,9.397823572158813,0.016666666666666666,120,0.15387749671936035
124,13,20,2,40,3,1,0.016666666666666666,120,9.884192705154419,0.016666666666666666,120,0.16409778594970703
125,13,20,2,40,3,1,0.03333333333333333,120,9.888601303100586,0.03333333333333333,120,0.1744234561920166
126,13,20,2,40,3,1,0.0,120,2.8425962924957275,0.0,120,0.05063343048095703
127,13,20,2,40,3,1,0.016666666666666666,120,10.265929222106934,0.016666666666666666,120,0.16007733345031738
128,13,20,2,40,3,1,0.03333333333333333,120,9.86217451095581,0.05,120,0.15875530242919922
129,13,20,2,40,3,1,0.0,114,2.317042112350464,0.0,114,0.03565263748168945
130,13,20,2,40,3,1,0.03333333333333333,120,9.565071821212769,0.03333333333333333,120,0.15805649757385254
131,14,20,2,40,3,2,0.42857142857142855,119,2.6817102432250977,0.4774774774774775,111,0.08351826667785645
132,14,20,2,40,3,2,0.3,120,3.062483549118042,0.5333333333333333,120,0.08441925048828125
133,14,20,2,40,3,2,0.4666666666666667,120,3.2774252891540527,0.47474747474747475,99,0.08446264266967773
134,14,20,2,40,3,2,0.5783132530120482,83,3.2601630687713623,0.6027397260273972,73,0.09299206733703613
135,14,20,2,40,3,2,0.5052631578947369,95,2.5954091548919678,0.25,120,0.08460855484008789
136,14,20,2,40,3,2,0.3565217391304348,115,2.7017455101013184,0.36666666666666664,120,0.09422659873962402
137,14,20,2,40,3,2,0.5166666666666667,120,2.786295175552368,0.41414141414141414,99,0.09105038642883301
138,14,20,2,40,3,2,0.4,120,3.030534505844116,0.43333333333333335,120,0.08430194854736328
139,14,20,2,40,3,2,0.6043956043956044,91,2.8498644828796387,0.3,120,0.11211109161376953
140,14,20,2,40,3,2,0.43333333333333335,120,3.3902413845062256,0.580952380952381,105,0.09048771858215332
141,15,20,2,40,3,5,0.6049382716049383,81,0.8818190097808838,0.6105263157894737,95,0.04141402244567871
142,15,20,2,40,3,5,0.55,120,1.0163252353668213,0.5844155844155844,77,0.038909196853637695
143,15,20,2,40,3,5,0.5955056179775281,89,0.9402797222137451,0.6105263157894737,95,0.0421602725982666
144,15,20,2,40,3,5,0.5925925925925926,81,0.8375999927520752,0.6176470588235294,102,0.04103589057922363
145,15,20,2,40,3,5,0.5909090909090909,88,0.8202474117279053,0.6,75,0.03896808624267578
146,15,20,2,40,3,5,0.5806451612903226,93,0.9305934906005859,0.6081081081081081,74,0.040656089782714844
147,15,20,2,40,3,5,0.6166666666666667,120,0.9501426219940186,0.5697674418604651,86,0.04151749610900879
148,15,20,2,40,3,5,0.5166666666666667,120,0.9381928443908691,0.5166666666666667,120,0.03866434097290039
149,15,20,2,40,3,5,0.6027397260273972,73,0.9106228351593018,0.5666666666666667,120,0.04010939598083496
150,15,20,2,40,3,5,0.59375,96,0.869760274887085,0.55,120,0.048151254653930664
151,16,20,4,80,3,0.1,0.03333333333333333,240,25.59010672569275,0.03333333333333333,240,0.35155463218688965
152,16,20,4,80,3,0.1,0.06666666666666667,240,38.99076819419861,0.06666666666666667,240,0.6018831729888916
153,16,20,4,80,3,0.1,0.05,240,24.689597845077515,0.03333333333333333,240,0.5565412044525146
154,16,20,4,80,3,0.1,0.041666666666666664,240,26.877285480499268,0.041666666666666664,240,0.4544565677642822
155,16,20,4,80,3,0.1,0.058333333333333334,240,43.93664240837097,0.058333333333333334,240,0.816431999206543
156,16,20,4,80,3,0.1,0.016666666666666666,240,26.793437719345093,0.041666666666666664,240,0.39777588844299316
157,16,20,4,80,3,0.1,0.041666666666666664,240,33.232439041137695,0.03333333333333333,240,0.9591038227081299
158,16,20,4,80,3,0.1,0.058333333333333334,240,32.52290058135986,0.058333333333333334,240,0.48737001419067383
159,16,20,4,80,3,0.1,0.041666666666666664,240,19.91955876350403,0.041666666666666664,240,0.5150434970855713
160,16,20,4,80,3,0.1,0.041666666666666664,240,20.097708225250244,0.041666666666666664,240,0.6453208923339844
161,17,20,4,80,3,0.5,0.041666666666666664,240,22.32245445251465,0.041666666666666664,240,0.19055938720703125
162,17,20,4,80,3,0.5,0.06666666666666667,240,16.28661012649536,0.06666666666666667,240,0.22585368156433105
163,17,20,4,80,3,0.5,0.06666666666666667,240,8.167956352233887,0.06666666666666667,240,0.3630497455596924
164,17,20,4,80,3,0.5,0.03333333333333333,240,9.098421573638916,0.04700854700854701,234,0.37718725204467773
165,17,20,4,80,3,0.5,0.05,240,16.206437587738037,0.06666666666666667,240,0.3653113842010498
166,17,20,4,80,3,0.5,0.075,240,14.170104026794434,0.075,240,0.37224364280700684
167,17,20,4,80,3,0.5,0.03333333333333333,240,11.622493743896484,0.041666666666666664,240,0.3855721950531006
168,17,20,4,80,3,0.5,0.041666666666666664,240,10.088948011398315,0.041666666666666664,240,0.38996315002441406
169,17,20,4,80,3,0.5,0.05,240,10.58582353591919,0.05,240,0.40564656257629395
170,17,20,4,80,3,0.5,0.058333333333333334,240,10.30656886100769,0.058333333333333334,240,0.15444254875183105
171,18,20,4,80,3,1,0.041666666666666664,240,12.51472020149231,0.041666666666666664,240,0.19065594673156738
172,18,20,4,80,3,1,0.041666666666666664,240,11.437489748001099,0.041666666666666664,240,0.19013524055480957
173,18,20,4,80,3,1,0.03333333333333333,240,11.330511093139648,0.05,240,0.18694639205932617
174,18,20,4,80,3,1,0.06060606060606061,231,6.851195335388184,0.05,240,0.18782997131347656
175,18,20,4,80,3,1,0.05,240,9.757023334503174,0.05,240,0.1954326629638672
176,18,20,4,80,3,1,0.05,240,9.646153211593628,0.05,240,0.19950127601623535
177,18,20,4,80,3,1,0.06666666666666667,240,8.113131761550903,0.06666666666666667,240,0.1907501220703125
178,18,20,4,80,3,1,0.03333333333333333,240,10.839320659637451,0.03333333333333333,240,0.18901276588439941
179,18,20,4,80,3,1,0.075,240,7.118301868438721,0.075,240,0.18797969818115234
180,18,20,4,80,3,1,0.06666666666666667,240,7.067139148712158,0.06666666666666667,240,0.18985676765441895
181,19,20,4,80,3,2,0.5166666666666667,240,3.372218608856201,0.575,240,0.10122013092041016
182,19,20,4,80,3,2,0.5069767441860465,215,3.060068368911743,0.616580310880829,193,0.10113120079040527
183,19,20,4,80,3,2,0.5622317596566524,233,3.1341187953948975,0.4583333333333333,240,0.10308146476745605
184,19,20,4,80,3,2,0.48333333333333334,240,2.916985273361206,0.5916666666666667,240,0.10446977615356445
185,19,20,4,80,3,2,0.6069651741293532,201,2.8207709789276123,0.5416666666666666,240,0.10175704956054688
186,19,20,4,80,3,2,0.5923566878980892,157,2.667186975479126,0.5903083700440529,227,0.1016533374786377
187,19,20,4,80,3,2,0.5545851528384279,229,3.252300500869751,0.43333333333333335,240,0.1012120246887207
188,19,20,4,80,3,2,0.5666666666666667,240,3.8932197093963623,0.5454545454545454,220,0.10099387168884277
189,19,20,4,80,3,2,0.5252525252525253,198,2.850424289703369,0.5714285714285714,231,0.10102653503417969
